id,title,rating,review_text,location,hotel
17,No descansas,1,"Fui a pasar solamente una noche con una amiga, llegamos alas 3de la mañana  para dormir y alas 9 estaba el recepcionista con un fontanero pegando gritos como si estuvieran solos y con la limpiadora hablando de sus cosas. Cerre la ventana para poder dormir y se les seguia escuchando como si estuvieran dentro de la habitacion. Toco la puerta para que sepan que estan molestando y se callan 1 segundo y vuelven a hablar como si nada. Aparte los baños con una peste a orin todos y en la cocina habia una pedazo de gotera que era de orina de los baños de arriba, una peste que no era normal.alas 12 que teniamos que dejar la habitacion le damos las llaves al recepcionista y el tio no tuvo la decencia de pedir disculpas por los gritos (sabia que eramos nosotras las de la hab.1 )que…",Seville_Province_of_Seville_Andalucia,Arc_House
18,Vaya sitio!!! ,1,"Lo primero, si puedes dormir en el coche o en un cajero y te duchas en la playa, mucho mejor que aquí. La recepcionista, muy simpática la chica,todo hay que decirlo, después de cobrarnos nos dijo, voy a mostraros la habitación. Aquí empezó todo. Nos condujo por un pasillo cochambroso, con pinta de lavanderia, que desembocaba en una puerta de 1.40m,y allí estaba mi habitación.la habitacion tiene mierda por donde la mires. ¿El baño? El baño apesta a bajante, con mugre y la ducha te asegura salir de tu estancia con hongos. Una araña muerta encima de la almohada, amarillenta, igual que las sabanas. El wi fi no funciona, no tiene tele, ni jabon ni toallas(4€ alquilar  dos toallas).lo que si tiene son humedades por todos lados, se podría decir que es el paraíso para un asmático,…",Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Bellavista_Playa_Malaga
19,"Mala comida, apartamentos no equipados y muy ruidoso",2,"Estuvimos 10 días en este Apartahotel. La habitación daba a la entrada sobre un bar que no nos dejaba dormir la siesta y por la noche cerraban a la 1 de la madrugada. Imaginaros con niños pequeños.... El equipamiento del apartamento es nulo: 3 platos de cada tipo, 3 cuchillos, 3 tenedores, 3 cucharas, 3 vasos, una cacerola gigante y un cazo pequeño. Ni una sartén para hacer una tortilla francesa o algo similar. No hay tendedero para toallas, por lo tanto hay que utilizar la barandilla para secar las toallas y los bañadores colocarlos en las sillas de la terraza que por tanto no puedes usar. La comida poco variada, de hecho el segundo día empezamos a salir a cenar fuera porque era lo mismo en la comida que en la cena. El restaurante repleto de gente, no hay trona suficiente para…",Almeria_Province_of_Almeria_Andalucia,Hotel_Best_Reina
20,Impactante por el lugar siniestro y dejadez de las habitaciones.,1,"Solo una noche y de terror!  La habitación aún era más fría que los patios exteriores,unos cortinones cargados de humedad y polvo daban un aspecto tan siniestro que no nos atreviamos a apagar las luces pero si surtieron efecto para que nos pícara todo el cuerpo,entraba a raudales la claridad del patio por dos ventanas sin posibilidad de cerrar .... con lo que apagamos la luz y nos rendimos vestidas sobre las camas de asco que nos dieron ,en el picaporte del baño de la parte de fuera colgaba una mascarilla higiénica....que tiramos al retrete...el baño era como un váter de tasca con un plato de ducha impracticable. Adelantamos los billetes de vuelta para irnos de allí a las 5 de la mañana. Si pides un taxi deben llamar a amigos que ya traen 5 euros en marcador y se pone ir al…",Seville_Province_of_Seville_Andalucia,Hotel_Casa_Imperial
21,"Lugar bien, el restaurante mejorable",2,"Las habitaciones muy bien, rústicas pero con encanto. Las piscinas, fría, natural y jacuzzi, muy bien; y los jardines también muy cómodos y agradables.  El restaurante es su peor parte. A parte de la poca iluminación de la sala para la cena, los sillones son incómodos para comer. Son sillones de reposo no para sentarse a comer. Pedimos albariño, 20€ la botella, y tras 20 minutos esperando, el vino no estaba frío. Las excusas eran que no tienen encendida la nevera siempre. Alucinante. Si no tengo un vino blanco frío, no lo ofrezco, y por supuesto no lo sirvo. Los chocos estaban duros, y el resto de la comida bien.",Huelva_Province_of_Huelva_Andalucia,Hacienda_Montija
22,Muy decepcionada,1,"Nos ha decepcionado mucho. Tuvimos que pedir que nos dieran sabanas limpias y cambiarlas nosotras, las puestas estaban usadas y olían mal. La manguera de la ducha estaba rota, salpicaba por todo, lo avisamos a las 9 de la mañana y al volver a las 22 de la noche no lo habían arreglado, es más llamamos a recepción y nos dijeron que al día siguiente lo miraban que nos apañáramos así, que pusiéramos toallas y Si necesitábamos más nos mas  daban. Nos hemos sentido muy desatendidas. ",Cordoba_Province_of_Cordoba_Andalucia,Hostal_La_Fuente
23,Imposible dormir!,1,Cuando llegué a recepción me llamó la atención el bote con tapones de oídos que tenían para vender porque eso es síntoma de que el ruido nocturno es elevado pero ¿Quién se iba a imaginar que al ruido de la calle se iba a sumar el del mismo hostel? Resulta que hay una terraza que abre desde las 16:30h hasta las 04:00 de la madrugada y eso hace que por la escalera no pare de subir y bajar gente dando voces además de escuchar desde la habitación los pasos de la gente que camina por la terraza (ya que el techo de la habitación es el suelo por el que camina la gente que está tomando copas) y las conversaciones de unos y otros que parece que estén dentro de la habitación.  Total que el personal muy amable pero...NUNCA MÁS!,Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Chinitas_Urban_Hostel
24,DECEPCIÓN,2,"Fuimos recomendados por unos amigos y nos llevamos una gran decepción. Tuvimos la ""gran fortuna"" (nótese la ironía) de que nos dieran uno de los dos apartamentos que dan a la calle, concretamente el que hay justo detrás de la recepción, es decir: oíamos el ruido de la calle y por su puesto perfectamente a toda y cada una de la gente que entraba y salía del apartamento, alguno a altas horas de la madrugada cantando con lo que ello conlleva.  A los cinco minutos de entrar al apartamento solicitamos posibilidad de cambio de habitación, pero nos fueron dando largas sin dar una respuesta definitiva, o algún tipo de compensación.  El apartamento en sí, no está del todo mal, pero tiene muchas carencias. Sólo había tres perchas en el armario o dos tristes vasos y tres cuchillos que no…",Seville_Province_of_Seville_Andalucia,Apartamentos_Metropolis_Sevilla
25,No había jabón de manos en la habitación y no lo trajeron a pesar de pedirlo e incluso bajar a recepción.,2,"No había jabón (en Pandemia) en la habitación y no lo trajeron en toda la tarde a pesar de pedirlo por teléfono y bajar a recepción. Decían que lo iban  a traer y no lo hicieron en toda la tarde, a las 23:00 volvimos de la calle y seguíamos sin poder lavarnos las manos con jabón",Seville_Province_of_Seville_Andalucia,Eurostars_Torre_Sevilla
26,Un apartamento con lo justo y con olor a tabaco,2,"Apartamentos bien situados, en zona tranquila de Sevilla. Eso sí, ofrecen lo justo para pasar un fin de semana. Nosotros estuvimos en el 1F. Las camas pequeñas, mido 1,93m y me salían los pies. La ducha, casi no cabía. Habían fumado pese a estar prohibido y no nos cambiaron el apartamento pese a que mi pareja sufre alergia al tabaco. Personal amable, pero poco resolutivo. Resulta caro pagar más de 90 euros.",Seville_Province_of_Seville_Andalucia,Apartamentos_Metropolis_Sevilla
27,Lo mejor la ubicación ,1,"Nos alojamos sólo una noche en estos apartamentos,decir que es urgente una renovación en ellos ya que están bastante deteriorados,lo mejor la ubicación que se encuentra en el barrio de triana y esta a 5 minutos a pie de Puerta Jerez, justo debajo se encuentra un Mercadona.Lo único bueno que destaco en mi apartamento, es el colchon que era bastante comodo,nuestro apartamento estaba ubicado en el 3 piso.(tienen ascensores )Contaba con una cama y un sofá,una mesa baja,un escritorio,baño con bañera y bidet,tuvimos que pedir dos toallas porque sólo nos dejaron dos toallas pequeñas y una mediana.Una pequeña cocina en la que los enseres eran casi inexistentes:un vaso,una sartén,dos cuchillos,y algunos platos,para nosotros esto no fue relevante ya que íbamos a pasar sólo la noche pero…",Seville_Province_of_Seville_Andalucia,Apartamentos_Resitur
28,HOTEL NEFASTO!! ENGAÑAN A LOS CLIENTES!!,1,"Estuve alojada en Enero,, nos ofrecieron el servicio de parking y  el personal del hotel se lo llevo para aparcarlo,, al dia siguiente lo trajeron todo rayado ya que no tuvieron cuidado y nos hicieron un daño en el coche del cual la reparacion nos supuso  200 euros  pusimos reclamacion porque la directora nos dijo que ellos no se hacen responsables de nada,como es posible que una directora de hotel te diga que no se hacen responsables de los servicios por los que te estan cobrando y que realiza el personal del hotel!!! una experiencia horrible y que como viajero asiduo nunca me habia pasado, ya se pueden imaginar la calidad y respeto que tienen hacia los clientes en este hotel!!  no se lo recomiendo a nadie ,, engañan al cliente , y se rien de ellos!! no siendo responsables de…",Seville_Province_of_Seville_Andalucia,Hotel_San_Gil
29,Decepcionante,2,"Nos alojamos en este apartamento turístico 4 noches, el lugar es cómodo y céntrico para visitar la ciudad, él apartamento está viejo, sucio y descuidado . La limpieza es prácticamente nula, mampara con moho, azulejos igual. Suelo y ventanas sucias y la que da a la terraza estropeada.  Nuestra reserva incluía una copa de cava, por la noche llamamos para preguntar y nos dejaron una botella sin copas. De La Cocina no hicimos uso, teníamos dos vasos y dos tazas distintas y los utensilios muy viejos , la nevera en el mismo estado. El desayuno muy muy regular ... Sencillamente nos levantábamos por la mañana y hasta la noche preferíamos no volver. El aire acondicionado funcionaba muy bien y la zona céntrica es lo positivo a destacar.",Seville_Province_of_Seville_Andalucia,Corral_de_los_Chicharos
30,Hotel malísimo ,1,"Hola, mi recomendación es que leas toda la opinión para decidirte por este hotel o no.  Yo estuve en la habitación 140 y es desastrosa el aire acondicionado no funciona, hace una calor en octubre que no es normal. Pasamos una estancia malísima por el aire acondicionado. De hecho pensamos en irnos a otro hotel y perder el dinero. Hablamos con recepción y nos dijeron que era centralizado es decir ellos deciden a la temperatura que tu tienes que estar te guste o no. No es como cualquier otro hotel que tu decides si quieres poner el aire acondicionado o no. No me dieron ninguna solución, hotel penoso. Prefiero quedarme de bajo de un puente antes que en ese hotel.  El bater es muy pequeño no te cabe casi el culo, la ventana no se puede abrir tiene un sistema de seguridad que aunque…",Granada_Province_of_Granada_Andalucia,Abades_Nevada_Palace
31,No volveré ni lo recomendaré,1,"Mi marido y yo hemos pasado 4 noches en esta pensión. Lo único bueno q tiene es que está totalmente céntrica, al lado de la gran via, de la calle Elvira (dónde se concentran gran número de bares de tapas) y de los sitios de interés.  Gracias a algunas de las opiniones q hay en esta página a cerca de la calefacción llevé un calefactor eléctrico que me ha salvado la vida y os puedo asegurar que no exagero. Tienen calefacción por aire q funciona cuando metes la tarjeta en la habitación para q funcionen las luces y la calefacción pero por la mañana cuando te limpian la habitación te dejan la tarjeta sin meter y cuando llegas después de todo el día visitando la ciudad te encuentras en ella una temperatura que no incitaba ni a quitarte la cazadora así q mucho menos a ducharte.  La…",Granada_Province_of_Granada_Andalucia,Pension_San_Joaquin
32,Suficiente,2,"Una fría pero soleada tarde de Diciembre llegamos a La Matea con la intención de visitar en los días siguientes el Parque Natural de Cazorla, Segura y Las Villas. Al llegar hacía un frío de bigotes en las habitaciones  (bueno y en la desértica recepción, no digamos) que, además, con las camas supletorias que  pedimos resultaron demasiado pequeñas. Además La Matea es un poblacho a medio hacer y el hotel no tenía zonas comunes aunque nos habían dicho lo contrario al reservar, así que estuvimos a punto de irnos, pero ¿a donde?, mucha crisis pero no había una plaza de hotel libre en kilómetros a la redonda y era una hora un poco intempestiva para meternos en el coche con varios niños en danza. Así que nos quedamos. Cuando la calefacción empezó a funcionar la cosa mejoró…",Jaen_Province_of_Jaen_Andalucia,Hotel_Restaurante_Escobar
33,CUTRE,1,"Quiero decir de antemano que no es al primer hostal que vamos. Sabemos que moviendonos en estos precios, no se puede pedir mucho lujo. Pero creo que dentro de lo barato hay un limite. Primero destacar la grandisima localizacion del hostal. Probablemente unico factor (junto con la atencion) que impidio que aguantasemos mas de una noche alli.. pero sólo tienes que acercarte a la entrada y abrir la puerta del portal para darte cuenta de que hablamos de un edificio antiquisimo. Con un olor nada grato, ventanas y puertas a las que un estornudo podría tumbarlas.. la limpieza mejorable, camas con colchones y mantas tercermundistas.. las duchas de agua caliente a contrarreloj! 2 minutos y se va enfriando. Conclusion: hubiesemos pagado mas dinero o hubiesemos ido a algo más apartado por…",Granada_Province_of_Granada_Andalucia,Hostal_Antares
34,"Buen hotel, pésimo personal",2,"Hotel, con una gran limpieza, con gran diversidad de comida, pero la amabilidad del personal brilla por su ausencia. Creo, que no hay un trato cercano, con el cliente, quizás haya sido mi experiencia, y espero que la de ninguno más, trabajo de cara al público, y a todo el mundo le gusta que le hablen d forma cercan",Granada_Province_of_Granada_Andalucia,Hotel_Barcelo_Carmen_Granada
35,Hotel y terraza de copas incompatibles,1,"No sé puede dormir, y menos con niños, si tienes una terraza de copas abierta hasta las tres de la mañana, con la misma escalera y el mismo ascensor de acceso al hotel, con la gente dando gritos y estando de fiesta... Faltan  detalles, muy caro para una habitación muy básica.",Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Alcazaba_Premium_Hotel
36,Decepción,2,"Hotel de 4 estrellas... Dudable, diría que 3. Las ventanas de las habitaciones dan a patios interiores,asi que las habitaciones que tengas enfrente, te verán si no pones las cortinas.   Por los pasillos que pasa la gente para acceder a sus habitaciones, ves estos patios interiores, asi que también veras a la gente que está en sus habitaciones cada vez que recorras un pasillo o ellos a ti. Asi que privacidad poca. También es un hotel muy ruidoso,para cerrar la puerta de la habitación tienes que hacer un poco de fuerza y acabas pegando un portazo.... Asi que a todas horas escuchabas portazos, el personal de limpieza a primera hora de la mañana y a las personas que teniamos encima de nuestra habitación... Si se duchaban o tiraban de la cadena. Y pedí una habitación tranquila...  La…",Seville_Province_of_Seville_Andalucia,Hotel_San_Gil
37,Deficiente sistema de limpieza ,2,"Hotel céntrico, bien situado. Difícil aparcamiento. Las habitaciones amplias, hotel de ciudad. La calidad de la cama no es su fuerte. Necesario una revisión de la limpieza. Baño con restos en pared y WC. En el suelo había como arenilla. En la mañana había un par de bichitos en el baño. Pero lo mejor es que la papelera, tenía restos de huéspedes anteriores. Una estancia bastante decepcionante.",Almeria_Province_of_Almeria_Andalucia,Hotel_Nuevo_Torreluz
38,Decepción! Un timo.,1,"Un hotel de 4 estrellas al que le sobran por lo menos dos. 540€ por 3 noches. ¡¡NO VAYAN!! El desayuno es muy limitado. Bandejas vacías y tienes que pedir que repongan. En el comedor interior, las mesas están tan juntas que los codos de las personas se tocan al cortar la comida.  En el comedor exterior hacía frio.  No hay escobilla en el wc. La pedimos y nos dijeron que no ponían. ”lo unico que puedo hacer es ir a comprarle una”, me dijo la persona de recepción. Tuvimos que tener el WC sucio hasta el dia siguiente, con el consiguiente olor y asco. El baño no tiene ventilacion y le separa de la habitación una puerta de cristal basculante que deja pasar sonidos y olores.  Solo hay enchufe a un lado de la cama, y hay que estar levantándose para cargar etc.   El aire acondicionado…",Seville_Province_of_Seville_Andalucia,Petit_Palace_Santa_Cruz
39,Necesita bajar el precio o subir la calidad,2,"Fuimos sólo a comer al restaurante, tardaron muchísimo en atendernos. La comida sin más, no resaltaba nada, pero para nada comparable con el precio que tenía. Mejor evitarlo e ir a probar otros restaurantes hasta que o bajen el precio o suban la calidad... Tardamos muchísimo, mucho tiempo de espera, tiempo hasta que nos atendieron, hasta que llegó la comida, hasta que por fin pudimos pagar....",Cabo_de_Gata_Almeria_Province_of_Almeria_Andalucia,Hotel_Las_Salinas
40,Alojamiente,2,"El hostal es muy bonito, tiene un estilo muy rustico. La habitacion tambien era muy bonita, pero la banera era demasiado pequena incluso para una persona. Nuestra cama no se veia muy limpia y lapersona que estaba en ese momento no fue muy agradable al principio",Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Hostal_El_Nogal
41,Cuidado.Guardad lo de valor a buen recaudo!!!,1,"Hola creo que puede ser útil mi opinion, la pensión no está mal y está bien situada eso si yo dejé el dinero en en monedero, dentro de un bolso dentro de la maleta bajo mi cama y me lo robaron, cuando pregunte en recepción para quejarme, la señora con muy malos modos me contestó no haberlo dejado, así que me quedé sin 100 euros.",Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Pension_Terminal
42,Decepcionante,1,"Por desgracia, lo que esperábamos un buen alojamiento, se convirtió en una sensación de ser estafados. La impresión es que nos ""vendieron"" su peor habitación como si fuera la standard. Pequeña, oscura, ventana casi impracticable...  Lo típico de ""si no protestas, te la clavan"" Una lástima. No lo recomendaré nunca.",Granada_Province_of_Granada_Andalucia,Hotel_Navas
43,Vergonzoso y absurdo al Máximo!,1,Me parece vergonzoso que pongan que admiten mascotas cuando por el simple hecho de llevar no uno sino dos perritos me denieguen el acceso.Si no sois amigos de los animales no lo pongáis para hacer publicidad engañosa pues no veo el sentido a esta normativa.Es como si en vez de llevar un niño llevo dos...que aumenta el riesgo de algo o es que comen más oxígeno en la habitación???? ...no entiendo nada!!!,Cordoba_Province_of_Cordoba_Andalucia,Apartamentos_Turisticos_La_Castilleja
44,No merece la pena si puedes pagar un poco mas,2,"Yo no soy una persona exquisita a la hora dormir, y he dormido en muchos hostales, pensiones...pero sin duda este ha sido uno de los peores en los que he estado en mi vida. Eramos 6 en la misma habitación (y los 6 opinamos lo mismo). La habitación no estaba limpia y nada más llegar vimos que salia agua del bidé y llegaba hasta la habitación, avisamos al chico de recepción (que era un encanto, muy amable y servicial) y nos puso unas toallas para hacer de tapón (al día siguiente lo solucionaron) esto fue lo menos grave, lo peor es que en la bañera había pelos al igual que en el lavabo (significado de falta de limpieza entre cliente y cliente) y el aire acondicionado era como si tuvieras una lavadora pues es increible el ruido que hacia (imposible dormir con el puesto, pero si no…",Cordoba_Province_of_Cordoba_Andalucia,Hostal_Funky_By_Arc_House
45,TERRIBLE SERVICIO AL CLIENTE - NO RESERVE,1,Me vi obligado a cancelar mi reserva debido al estado de alarma en España. Se han negado a reembolsarme o darme una tarjeta de regalo y han dejado de responder a mis correos electrónicos y mensajes. Han pasado tres meses. NO RESERVE! !,Seville_Province_of_Seville_Andalucia,Hostel_One_Catedral
