id,title,rating,review_text,location,hotel,label
10,No ha sido lo que se esperaba,2,"Estuvimos este finde varias parejas de amigos, íbamos solo a dormir porque teníamos la agenda a tope, como ubicación está bien , un poco antiguo y viejo necesita un cambio de look  , de habitaciones insonorizadas nada , los tabiques parecen de papel , los escalones para llegar al ascensor muy incómodos, el personal era atento , pero yo tuve un problema en el baño y después de varios percances y comunicarlo en recepción, no me cambiaron de habitación ni hubo soluciones, Menos mal que fuimos para dos noches , estábamos poco tiempo y llegábamos reventados . No ha sido de mis mejores estancias. ",Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Zeus_Hotel_Malaga,0
11,Cama con algo de color marrón.....,1,Estuve alojado en este hotel y cuando abrí la cama me encontré en las sábanas manchas secas de color marrón que asemejaban al color de escrementos. Al día siguiente cambie de hotel ya que al reclamarlo me dijeron que era Robín sin ninguna otra explicación.,Granada_Province_of_Granada_Andalucia,Camino_de_Granada_Hotel,0
12,Injusta relación Calidad - precio ,2,"Estuvimos  alojados la noche del 23 de marzo. El precio : por booking habt  115 euros.  Puntos positivos:  Un hotel de tres estrellas con una excelente situación próximo a la Catedral.  Puntos negativos:  Camas muy pequeñas y colchones muy duros .. para dormir fatal.  La decoración  pésima: Lleno de cuadros de imágenes de santos,  Toreros, multitud de cerámicas, malas restauraciones..   Las puertas de las habitaciones desconchadas, mal pintadas ..   El desayuno se realiza en el bar de tapas que hay junto al Hotel. En la mañana que estuvimos tenían la radio altísima y lo que los turistas escuchaban desayunando eran las noticias de la Cope...  En fin, el casco antiguo de Sevilla es muy bonito, pero en algunos casos deberían de cuidar un poco más la atención y calidad con el…",Seville_Province_of_Seville_Andalucia,Hotel_Convento_La_Gloria,0
13,Han perdido el norte..,1,"Llevo un montón de años utilizando este hotel pero esta última vez han perdido el norte....me dieron una habitación de mala muerte enana ,con tres camas incomodisimo....  no volveré...  están endiosados por qué Malaga está llena pero hay más hoteles .....",Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Hotel_Soho_Boutique_Los_Naranjos,0
14,"Pequeño, sábanas sucias y menaje cocina escaso.",1,"El apartamento era para cuatro personas, pero  si abría el sofá-cama  no podiamos sentarnos en la mesa porque no cabíamos. Si ponía la mesa en medio de la sala para cenar, no se podía abrir la puerta de la calle. Las sabanas estaban sucias con pelos, manchas,... no había cubiertos para todos, el techo muy alto y con bombillas de bajo consumo que apenas alumbraban, el armario pequeño para la ropa de los cuatro, la televisión colgada en la pared  a dos metros de altura, por lo que teníamos que tener la cabeza echada para atrás,... total que  no mereció la pena alojarnos aquí, mejor pagar un poco más y estar  mejor. Quizá  dos personas estarían bien, pero que no lo vendan y paguemos para cuatro  porque la verdad es que por lo que pagamos hubieramos cogido  un hotel de cuatro…",Seville_Province_of_Seville_Andalucia,Apartamentos_Casa_del_Museo,0
15,Menos de lo esperado,2,"Con un olor distintivo a moho, incluso en el piso superior, la Casa decepcionó. La ducha fue un escaparate de diseño deficiente con el estante de jabón justo donde debe pararse para captar el escaso flujo de agua fría / caliente, pero no es que tenga muchas opciones sobre las que reciba en un momento determinado. La única forma de colgar la toalla (en el estante de la ducha) es quedarse de pie en la ducha, lo que requiere que recupere la toalla para secarse el pie en un ciclo sin fin.",Cordoba_Province_of_Cordoba_Andalucia,Casa_De_Los_Faroles,0
16,Opinión sobre el hotel Barcelo Carmen Granada,2,"Bien situado. Habitaciones que necesitan ser remodeladas ya que tenía molduras de roda pies rotas, las paredes necesitaban ser pintadas y el mobiliario era antiguo. Garaje muy pequeño con las plazas minusculas de las cuales es a veces difícil salir y personal en general muy amable",Granada_Province_of_Granada_Andalucia,Hotel_Barcelo_Carmen_Granada,0
17,Decepcionante,1,"Este hotel nos ha decepcionado bastante porque nos han dado una habitación que aunque era el mes de octubre al dar el sol de pleno estaba almenos a 40°C grados, el hotel no tiene 4 estrellas como mucho tres.",Malaga_Costa_del_Sol_Province_of_Malaga,Hotel_Malaga_Alameda_Centro_Affiliated_by_Melia,0
18,Una pésima gestión,1,"Reservamos una noche en este alojamiento, el cual elegí indudablemente por su ubicación. Al llegar al establecimiento para realizar el auto check-in descubrimos que el código facilitado no es correcto. Al contactar con el número de teléfono proporcionado, nos dicen que el alojamiento no está disponible porque están desinfectando, por lo que nos envían a otro hotel de categoría superior pero que se encuentra a casi un kilómetro. El principal problema deriva de que ni si quiera nos avisaron con antelación de la situación y del cambio de hotel, pues mi pareja y yo podríamos no estar de acuerdo con el mismo, ya que pagamos un alojamiento en una ubicación concreta por intereses personales. Según la ley 13/2011 de Turismo de Andalucía son derechos del usuario turístico ""recibir…",Seville_Province_of_Seville_Andalucia,Hotel_Da_Vinci,0
19,No es el Melia que conocía,2,"La reapertura con una impresionante falta de personal y muy baja calidad de servicios y producto, a pesar del esfuerzo de su poco personal, hace del Meliá Granada un hotel ordinario que solo destaca por su extraordinaria situación en la ciudad. La marca con esta actitud falta el respeto a su fiel clientela;?de corazón espero y deseo que pongan urgentemente en marcha las medidas necesarias para recuperar la calidad que era digna de la marca.",Granada_Province_of_Granada_Andalucia,Melia_Granada,0
20,fatal,2,"Alquilamos la casa cuatro parejas para estar totalmente solos. Llegamos al cortijo y tuvimos que esperar a que nos limpiaran la habitacion pasadas las 13 d la tarde. Una vez allioentras esperabamos llego la guardia civil exigiendole a la propietaria las fichas identificarivas de los huespedes anteriores cosa que nos parecio extraña ya que hablaban de una denuncia anterior a la casa por lo que no nos dio micha seguridad. Lueg nos hizo la ficha identificativa de prisa y corriendo y tuvimos que entregarle el dinero acordado ya que no iba a volver en los tres dias. Cuando volvimos por la noche las 4 parejas nos encontramos dentro de ls zonas comunes a un hombre que andaba a sus anchas por estas, aun estando nosotros dentro. Minutos despues aparece la propietaria con una preja…",Cabo_de_Gata_Almeria_Province_of_Almeria_Andalucia,Casa_Rural_Campo_Feliz,0
21,No aparcamiento desayuno pobre,2,"Me esperaba mas de un 4 estrellas, para empezar el aparcamiento es de tipo ascensor,  no lo tenían en funcionamiento ya que necesitaban a una persona para atenderlo, imposible aparcar el coche en pleno centro. El desayuno un cafe un mini croissant y una tostada? Esto es todo de un 4 estrellas? Esto es el precio que he pagado? . Las habitaciones muy normales y sin nada que destacar. Entendemos que con la pandemia han tenido que reducir recursos pero creo que es excesivo. ",Almeria_Province_of_Almeria_Andalucia,AC_Hotel_Almeria,0
22,La peor experiencia de mi vida,1,"Nada más llegar la impresión fue mala, ya que vimos como huéspedes del hotel bajaban hasta la recepción sin mascarilla sin ser amonestados. En el desayuno, con la comida expuesta sin ningún tipo de protección, se permita que los huéspedes se pasearan por la zona del buffet sin mascarilla. Después del primer día notifiqué este comportamiento, además de la suciedad del baño, y recibí la llamada del subdirector, que me aseguró que habían limpiado el baño siguiendo sus directrices y me indicó que había dado orden de que el personal estuviera atento ante el incumplimiento del uso de la mascarilla aunque, según el, el ""99% de los huéspedes lo cumplía, había que estar pendiente de ese 1% que no lo hacía"". En los siguientes días presencié más gente sin mascarilla en los pasillos,…",Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Barcelo_Malaga,0
23,Muy viejo,2,"Hotel viejo. Habitaciones muy básicas, camas sin edredón con mantas viejas, está muy cerca del centro. Trato bueno. Hay hoteles que por el mismo precio están mas nuevos y reformados. Tiene parking subterráneo.  ",Cordoba_Province_of_Cordoba_Andalucia,Hotel_Mariano,0
24,Apartamento no se limpia a su llegada,1,"El apartamento está muy bien amueblado con todo lo necesario.  Apartamento está en una posición pero ruidoso justo en el corazón del centro de Málaga, que me gustó.  La limpieza no había estado en servicio el apartamento y no llegaron ese día, así que no hay sábanas limpias y no hay toallas limpias.",Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Malaga_Urban_Rooms,0
25,Servicio pesimo,1,"Al llegar al la habitación la televisión no funcionaba y no consiguieron darme otra solucion que mandarme a un chico al día siguiente (justo cuando me marcho), en cuanto a la limpieza en el baño he encontrado pelos en la ducha y lavabo, espero que lo tengan en cuenta para proximos inquilinos. ",Almeria_Province_of_Almeria_Andalucia,B_Butik_Almeria_Centro,0
26,Contacto pobre,1,"He estado tratando de obtener un reembolso por dos meses, ni siquiera responderé a mis correos electrónicos, intenté todo, así que sería muy cauteloso con este lugar. Siéntete engañado y muy decepcionado por mi experiencia. pero no dejes que esto te ponga en Málaga.",Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Urbanliving_Alcazabilla,0
27,Avoid Hostel if you want to sleep.,1,Very new clean hostel in centre of Malaga that just forgets one thing..looking after its guests. After 3 days of sleepless travel from Haiti I was greeted by charming Alejandro. I booked forone night but he told me I could extend the next day. I informed the cleaner I would be staying longer. As left for a coffee the next morning aggressive Cristina told me rudely I had to leave -no space.I agreed and found another hotel to check in at 4pm. Cristina took my bags and said I could wait. In one of their comfy chairs I made the mistake of falling asleep sitting upright.  Cristina very upset with that and said I could only sit with eyes open. Apparently it gives a very bad image to see someone asleep in a hostel. Maybe Cristina needs to look for a job in a Marriott.,Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Toc_Hostel_Malaga,0
28,No entiendo las notas de la gente...,1,"La verdad que escogí este hotel por las criticas positivas, pero no están fundamentadas. Esto no es una hotel de 4 estrellas ni de lejos, 3  justito. Me entero que el almuerzo No es bufet, el almuerzo es de lo mas ridículo que he visto para ser 4 e. Te lo venden por razones del COVID pero nota mucho que es para ahorrar dinero (con este ya creo que es el 23 o 24 hotel que visito este año y no había encontrado semejante sinvergunzeria). La habitación supuestamente adaptada a la movilidad tiene un reslate de 10 centimetros para entrar a la ducha.... pero l más fuerte es que si quieres ir al baño tienes que salir al pasillo pq no se puede entrar directamente al baño. y para rematar la puerta no encaja en el marco y des de la hab. se veía el pasillo... y a las 3 de la mañana entraron…",Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Petit_Palace_Plaza_Malaga,0
29,No es genial!!,2,"Como necesitábamos un sitio reservado cerca del aeropuerto - el registro es en el restaurante, y luego fue conducido a través de pasillos oscuros como a la habitación. La habitación era pequeña, incómoda, sábanas y mantas, no parecía especialmente limpia y la alcachofa de la ducha estaba colgando, así que tuve que aguantar mientras te duchabas. Nevera en la habitación era ruidoso, así que tuve que apagarlo, y le costó dormir porque el chico de al lado, el ruido de ronquidos es terrible. La zona no está mal, pero si vas allí, comimos en el bar sobre la calle a la derecha - personal y comida encantadora. En resumen, alojarse aquí es que usted necesita para estar en el aeropuerto temprano y sólo tienes que conseguir tu cabeza, pero si estás pensando en reservar este hotel para unas…",Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Alojamiento_Jose_Carlos,0
30,toda una noche sin dormir,1,"nos dieron la habitacion en la quinta planta por la noche llame a recepcion informando de un fuerte y continuo ruido y me mando una chica para decirme que todo estaba en orden,pero el ruido continuaba mirando google pude ver que tenia encima de nuestras cabezas los motores de la calefaccion.Me siento estafado por arruinar mi estancia ,me dieron una mala habitacion habiendo habitaciones disponibles",Almeria_Province_of_Almeria_Andalucia,Hotel_Nuevo_Torreluz,0
31,UN DESASTRE DE HOTEL. MUY MALA EXPERIENCIA. NO LO RECOMIENDO A NADIE,1,"La experiencia en este hotel ha sido nefasta. Es un hotel recomendado dentro del evento subida internacional al Veleta. Estuvimos hospedados en la habitación 220 y 221. Lo primero que nos pasó es que siendo un hotel recomendado para ese evento, y sabiendo que debíamos estar el Pradollano a las 8 de la mañana para coger un autobús que nos subiera hasta donde iba a comenzar la carrera (hay una distancia de 29km y como se tarda 35 minutos en llegar), pues no nos querían abrirnos el restaurante para el desayuno hasta las 7,30 d la mañana. Después de convencer al camarero (que nadie le había avisado de que tenía que abrir a esa hora), por fin nos dejaron entrar a las 6,30 h. Después a la hora de comer, el servicio fué pésimo, había una escasez de camareros-cocineros exagerado,…",Granada_Province_of_Granada_Andalucia,Hotel_Macia_Real_de_la_Alhambra,0
32,Da asco,1,"Cuando realizamos la reserva lo hicimos por el precio, pero no creo que eso deba estar reñido con la limpieza. Al descubrir la cama, la sabana de arriba tenía una mancha marrón y la sabana de abajo estaba llena de pelos, no uno sino cuatro o cinco, asqueroso.La televisión no se veía, pusimos el iré acondicionado y salía peste a tabaco, la puerta del ropero rota, la pared desconchada, la ducha con pelos y una rebaba marrón Vinimos por el precio, pero no volveremos por la suciedad.",Cordoba_Province_of_Cordoba_Andalucia,Hotel_Mariano,0
33,Caro para su baja calidad. Abandonado.,1,"Estuvimos una familia en semana santa 2009 (solo 3 dias). Nos cobraron 80 euros por noche. Esperabamos otra cosa. El apartamento muy usado y frio. Para calentarlo solo hay dos pequeños radiadores electricos que no alcanzan a caldear el ambiente. Si usas la chimenea dicen que son 10 euros mas (que nosotros no quisimos pagar). Las camas viejas y el mobiliario tambien. Sensacion de abandono. Limpieza deficiente. Suelos sin barrer. Las sabanas, aunque limpias, hacia tiempo que no se cambiaban y habia bichos muertos en ellas (mosquitos, arañas). El menaje muy escaso, con alguna olla, sarten, platos, vasos y cubiertos, nada mas. Nevera pequeña. No hay microondas. En la encimera solo hay dos placas electricas pequeñas. El lugar es bonito y esta en una loma (la sierra atras y abajo los olivares), pero para llegar con el coche hay que subir rampas de tierra estrechas y empinadas. Poco acondicionado el acceso. En definitina, muy caro para su pobre calidad. Por este mismo precio hay casas rurales muy cuidadas. Fuimos a este lugar porque decidimos a ultima hora y ya no habia plazas libres en la zona. Al pagar no nos dieron factura (se supone que 80 euros eran sin iva). Muy mal hecho por nuestra parte. Nos quedo la impresion de que van a sacar dinero facil haciendo el minimo gasto. De ahi el mal estado general de los adosados, con grietas y minimo mantenimiento.…",Jaen_Province_of_Jaen_Andalucia,Los_Ranchales,0
34,No coincide la calidad de la hospedería con la puntuación del TripAdvisor.,1,"Me parece caro para los servicios que ofrece.El baño, pésimo, al ducharte pareces que estas en una piscina, toda el agua en el suelo.La almohada, si se puede llamar almohada , peor imposible, extraplana. Cero intimidad, las paredes son de papel, se escuchan tantos las conversaciones de los de al lado como la de abajo de la recepción. En cuanto a la presencia de la habitación no es nada buena, no tiene ni una simple colcha, solo una manta cutre.  Lo único bueno a destacar es el trato educado y amable de los recepcionista y el lugar en el que se encuentra situado.",Granada_Province_of_Granada_Andalucia,Hospederia_El_Zaguan,0
35,DE AZAHAR TIENE POCO,1,"No se que era peor, si lo mal que huele o lo mal que te tratan. Tuvimos que entrar a las 13.30h y acabamos entrando a las 15.00h porque las habitaciones no estaban hechas, ni la mía ni la de nadie, al menos 10 personas fuera esperando. La de recepción (una señora muy desagradable)  nos dijo con prepotencia que la culpa eran de los propios clientes de toda la Semana Santa, que obviamente es mentira (ya que se pueden leer otros comentarios en otras fechas diciendo lo mismo) y de todas formas.. En estas fechas tiene que haber más personal, no sólo ella, y con un poco mas de simpatía, ya que escuché que le EXIGÍA a una pareja que no vuelvan a hacer una reserva por booking porque es una empresa extranjera y se llevaba parte de comisión, no, si encima de que te hacen publicidad de tu…",Seville_Province_of_Seville_Andalucia,Pension_Azahar,0
36,"Unhelpful, unfriendly & noisy",1,"Beautiful lobby & rooms.  Unhelpful reception staff-on asking for advice on sightseeing, I was told the tourist office is around the corner.  I stayed on level 6, the pool & restaurant are on level 7 unbelievably noisy in the morning & at night",Malaga_Costa_del_Sol_Province_of_Malaga_Andalucia,Soho_Boutique_Equitativa,0
37,LAMENTABLE / STAY AWAY!,1,"Nada recomendable, comienzo a enumerar:  - Lejos del centro (20 min coche).  - Frecuentado por gente de dudosa reputación.  - Llamaron a la puerta varias veces, después nos comentaron en el mismo hotel, que el edificio se compone de habitaciones y apartamentos de uso privado, las cuáles suelen ser ocupadas por servicios de ¨chicas¨, lo que provoca la afluencia de varones en el hotel.  - No se puede descansar; en los locales comerciales situados bajo las habitaciones hay varios disco/pubs con terrazas. Música hasta las tantas y mucho ruido al recoger las terrazas. El hotel no avisa a la Policía para evitar tales molestias a los clientes.  - Las instalaciones muy cortitas.",Seville_Province_of_Seville_Andalucia,Apartamentos_Luxsevilla_Palacio,0
38,Mucho que mejorar ,2,"Fuimos una sola noche por un tema de trabajo.  La verdad lo único bueno: la vista y el servicio. Son encantadores y atentos. Mención especial a las chicas de recepción.  A partir de ahí todo totalmente mejorable.  Es verdad que están ubicados en la misma playa y si vas con niños es una ayuda.  No hay aire acondicionado, solamente dos ventiladores de techo. Insuficiente a todas luces.  Se ve que es un edificio bastante antiguo. Pero no restaurado, si no, lavado la cara. Instalaciones vistas, espacios muy reducidos, vajilla y enseres tipo ""cuéntame"" etc..  La distribución del mobiliario nada resolutiva. Más parece un piso de estudiantes.  Cualquiera con algo de nociones de interiorismo (o sentido común) podría mejorarlo algo.  El tema de la fianza en efectivo por no romper nada lo…",Punta_Umbria_Province_of_Huelva_Andalucia,Apartamentos_Calypso,0
39,MALA ORGANIZACIÓN,2,"La habitación  fue agradable. Llegamos el primer día y nos dieron la habitación que habíamos reservado, el recepcionista nos indicó y estuvimos todo el día en córdoba. A la hora que llegamos a descansar al hotel nos encontramos con que nuestra habitación se la dieron a otro huésped ,por una mala organización entre el personal. ¡Suerte la nuestra de que no dejamos nada en la habitación y de que no nos entrara nadie en la habitación en mitad de la noche!",Cordoba_Province_of_Cordoba_Andalucia,La_Juderia_Cordoba,0
40,Pésimo,1,"Hotel con muchas deficiencias. El wifi no me funciono en los tres días que me aloje allí, los toalleros no funcionan correctamente, no calientan y según una recepcionista estaban encendidos, las paredes del roce de maletas, hechas una porqueria que dan aspecto de suciedad y la bañera de la ducha resbala que da gusto. Los recepcionistas bueno, no se que decir si uno peor que el otro o el otro peor que el uno, la única que solucionaba los problemas era una mujer que había por la mañana que era bastante amable.  En cuanto a la limpieza, nada que objetar, estaba todo muy limpio, tanto en la habitación como en las zonas comunes, además conincidi con dos mujeres de la limpieza y las dos bastante correctas y amables. No volvería a repetir.",Jaen_Province_of_Jaen_Andalucia,Hotel_Juleca,0
41,"Decepcionante, caro y cutre",1,"En booking salía un precio, que luego en el albergue se incrementó al pagar en 4€. No es mucho 4€, pero un albergue que cuesta 50€ una noche, es caro. Nos han dicho que es el primer día de temporada que abren, y por tanto el spa está cerrado, hace un frío horrible en todo el establecimiento y para el desayuno no había casi nada. El lunes traen más cosas, nos dicen, pero, por qué no abren el lunes cuando las tengan? Soy celíaca y no he podido desayunar nada. La habitación estaba congelada al llegar y como no se puede regular la temperatura, porque según el conserje por ley tiene que estar a 24° (que no son reales ni de lejos), nos hemos muerto de frío y sólo había una manta fina por cama (de 90). He dormido con el abrigo puesto, para que os hagáis una idea. Y el conserje no se ha…",Jaen_Province_of_Jaen_Andalucia,Jaen_Inturjoven_Youth_Hostel_Spa,0
42,Nefasta atención al cliente en recepción.,1,"Acudimos a recepción porque nuestro frigorífico no enfriaba debido a las constantes bajadas de tensión. Después de dos días allí se nos estaba empezando a poner mala la comida. No solo no nos daban ninguna solución, nos decían que Endesa no le permitían contratar más watios,si no que nos decían en tono despreciable que si no estábamos a gusto que abandonaramos el camping. Hicimos 500 kilómetros para ir a ese camping, soñábamos con disfrutar de unos días inmersos en una naturaleza impoluta y nos chocamos de frente con una trabajadora de recepción de lo más tóxica, irrespetuosa y sin ganas de hacer su trabajo. No éramos los únicos, más de 7 familias fuimos a intentar encontrar una solución. Si pensáis ir a este camping primero que os aseguren que tendréis corriente, 220v que es lo…",Jaen_Province_of_Jaen_Andalucia,Puente_de_las_Herrerias,0
43,Una vergüenza!!!!Cuidado con este establecimiento!!!,1,"Tenia cancelacion gratuita y pagaras en alojamiento por booking. Pues cual es mi sorpresa q se me cobra anticipadamente el total de la reserva+4dias de parking q les dije q me guardasen 1 plaza. Ahi ya no se respetó las políticas. Pero el problema gordo vino cuando por enfermedad repentina tuve q cancelar la reserva 1 dia despues de la cancelacion gratuita. Entiendo q si se m ha pasado la cancelacion gratuita no quieran reembolsarme la reserva...pero por lo menos q haya facilidades...como por ejemplo poder hacer un cambio de fechas para cuando esté recuperada, que es lo que ahora stan haciendo la mayoria de sitios por el covid.. Pues ademas de cobrarme el total d mi reserva, me cobran tambien 4 dias de parking anticipadamente, cuando yo solo dije que me guardasen plaza...en…",Cordoba_Province_of_Cordoba_Andalucia,Hospederia_Los_Angeles,0
44,Necesita reformarlo!!,2,"Fui a pasar un fin de semana y decidí este hotel por la ubicación, he de decir que es excelente y la atención en recepción de 10...una pena solo sea bueno eso. Alojarse en la séptima planta es lo peor!! El ascensor parece que despega, si hay gente en el solarium no se puede descansar porque se escucha arrastrar mesas y silla, la habitación esta muy deteriorada añado una foto,limpieza regular, escuchas todo de la otra habitación, es una pena no le hagan la reforma pronto. ",Jaen_Province_of_Jaen_Andalucia,Hotel_Xauen,0
45,POCA LIMPIEZA,1,"suelo sucio, sabanas sucias, ya utilizadas por otros inquilinos. mampara de la ducha que se descuelga al cerrarla..la vitroceramica cuando llegamos estaba con restos de comida pegados...se nota que de un cliente a otro ni siquiera lo limpia.MAL, MUY MAL. lo mejor, el sitio, que esta en todo el centro de sevilla",Seville_Province_of_Seville_Andalucia,Apartamentos_Casa_del_Museo,0
46,Estancia desagradable,1,"No recomendable, un verdadero desastre, habitación recién reformada y reconfortable las cosas como son, pero no habia apenas ventilación, las paredes por las mañanas estaban húmedas y mojadas. La tranquilidad del sitio brilla por su ausencia, esta mañana unos pintores ( que yo entiendo que hay que hacer reformas para la pensión) pero estos trabajadores estaban pegando unas voces que te cagas en mitad de la pensión y eran las 08:00 am, sin que la recepcionista les parará los pies, estas cosas se pueden hacer en otro momento, no hemos dormido nada, no volveré",Seville_Province_of_Seville_Andalucia,Pension_Azahar,0
